Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2021,"Albert Pujols","2 Tms",146,0.05479452,0.14383562,0.38095238,0.29411765,0.33561644,0.60294118,0.93855762,0.30882353,0.26213592,26.498133551829966,8.818057712668095,0.38735583962665665,145.8136498521868,1177
2021,"Miguel Cabrera","DET",150,0.1,0.22,0.45454545,0.26865672,0.34,0.35820896,0.69820896,0.08955224,0.33333333,17.608410032973822,-0.5560514456171445,0.3099460220336914,95.42496507105844,1744
2021,"David Peralta","ARI",92,0.05434783,0.17391304,0.3125,0.26744186,0.31521739,0.41860465,0.73382204,0.15116279,0.31884058,11.29697126697732,0.15610156010819334,0.3164772145126177,94.79208094915911,2136
2021,"Carlos Santana","KCR",190,0.07894737,0.11052632,0.71428571,0.28323699,0.34210526,0.37572254,0.7178278,0.09248555,0.30201342,23.019374797444176,0.011056924562285828,0.3144967877675617,96.75923672284301,2396
2021,"Nelson Cruz","2 Tms",194,0.07731959,0.20103093,0.38461538,0.31578947,0.375,0.5380117,0.9130117,0.22222223,0.352,33.37273967554501,9.880036163234033,0.3765354633972209,142.250771511916,2434
2021,"Manny Pina","MIL",92,0.13043478,0.13043478,1,0.22077922,0.34782609,0.50649351,0.8543196,0.28571429,0.18644068,15.02809681418298,3.8872271073138553,0.36549435879873193,127.31828505792375,2829
2021,"Roberto Perez","CLE",61,0.13114754,0.29508197,0.44444444,0.17307692,0.29508197,0.40384615,0.69892812,0.23076923,0.16666667,6.97071173977275,-0.4161692615209086,0.30618058853462093,92.91254123953937,2900
2021,"Tommy Pham","SDP",154,0.18181818,0.23376623,0.77777778,0.2016129,0.35064935,0.33870968,0.68935903,0.13709678,0.24705882,17.66634497085242,-0.9825021471676358,0.30671548646017416,94.02834088291829,2967
2021,"Charlie Culberson","TEX",144,0.04166667,0.16666667,0.25,0.34586466,0.37588652,0.55639098,0.9322775,0.21052632,0.39622642,26.659636797527895,9.221753778080572,0.3918275283915656,151.9394594409822,3298
2021,"Anthony Rizzo","2 Tms",171,0.06432749,0.0994152,0.64705882,0.32450331,0.39766082,0.50331126,0.90097208,0.17880795,0.328125,31.263936864109148,10.556450778515451,0.3890400162914343,145.26985952268004,3473
2021,"Eric Hosmer","SDP",158,0.03164557,0.17088608,0.18518519,0.26174497,0.29299363,0.38255034,0.67554397,0.12080537,0.3,16.190956821643766,-2.9422759358053834,0.29191920977489205,84.4150811322651,3516
2021,"Michael Brantley","HOU",180,0.04444444,0.13333333,0.33333333,0.21893491,0.26111111,0.31360947,0.57472058,0.09467456,0.24305556,12.489732465876118,-9.30762130843304,0.251929020219379,58.904001962309245,4106
2021,"Ryan Zimmerman","WSN",116,0.04310345,0.30172414,0.14285714,0.29090909,0.31896552,0.58181818,0.9007837,0.29090909,0.36231884,19.83521542182278,5.788031878379103,0.3747336145105033,132.95208544940928,4220
2021,"Joey Votto","CIN",166,0.11445783,0.28313253,0.40425532,0.21527778,0.31325301,0.38888889,0.7021419,0.17361111,0.27956989,19.166547673887543,-0.9354563624197904,0.30761544352554415,85.98643243475804,4314
2021,"Jed Lowrie","OAK",180,0.08888889,0.21111111,0.42105263,0.25925926,0.32222222,0.36419753,0.68641975,0.10493827,0.31707317,19.872993466406356,-1.9243603079028042,0.3015050434403949,93.78902831627082,4418
2021,"Starlin Castro","WSN",89,0.05617978,0.2247191,0.25,0.34939759,0.38202247,0.42168675,0.80370922,0.07228916,0.453125,13.377847950201357,2.6002674729040494,0.3497385878241464,116.71261594493133,4579
2021,"Jason Heyward","CHC",74,0.06756757,0.2027027,0.33333333,0.23529412,0.2972973,0.32352941,0.62082671,0.08823529,0.28846154,6.63875000800479,-2.3223843214334194,0.2764950982622198,69.63228227261432,4940
2021,"Giancarlo Stanton","NYY",171,0.14035088,0.24561404,0.57142857,0.27083333,0.38596491,0.5,0.88596491,0.22916667,0.31521739,30.34282990493141,9.635343819337708,0.38252958254507413,145.38849579455223,4949
2021,"Asdrubal Cabrera","2 Tms",123,0.09756098,0.20325203,0.48,0.25688073,0.33333333,0.39449541,0.72782874,0.13761468,0.31325301,15.004573566648489,0.10971515420389677,0.3152673029508747,93.68928936294857,4962
2021,"Josh Donaldson","MIN",167,0.1497006,0.24550898,0.6097561,0.25714286,0.37125749,0.57142857,0.94268606,0.31428571,0.26436782,31.24716418360537,11.02406373744076,0.39421144558722715,152.48186561560456,5038
